"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm"
"1","Rodentia","Muridae","Brachiones","przewalskii","Brachiones przewalskii",1.104,192.25476,180.91266,13.83686,171.85436,162.24427,198.764150000001,3.94,95.5204400000001,34.9862299999999,1.688,0.00699150672469998,0.00724674010669997,68.3255800000002,3.83358999999996,2.01899,46.9096999999999,7.85598999999997,49.0365799999998,198.247780000001,2.82676999999999,163.991070000001,1.032,6.414,1.718,1.788,31.0123700000002,65.6783900000004,149.216640000001
"2","Rodentia","Spalacidae","Cannomys","badius","Cannomys badius",1.805,472.07,234.394179999999,11.23424,255.87752,172,344,3.476,195.545449999999,41.49,1.551,0.0151412006656999,0.0139201823655999,110.78538,2,2.13823,48,21.9245700000001,73.77815,406.350290000001,11.608,213.396439999999,2.67938,5.098,1.413,1.361,50.1,106.91224,171.601810000001
"3","Rodentia","Cricetidae","Cansumys","canus","Cansumys canus",1.104,192.25476,180.91266,13.83686,171.85436,162.24427,198.764150000001,3.94,95.5204400000001,34.9862299999999,1.688,0.00699150672469998,0.00724674010669997,68.3255800000002,3.83358999999996,2.01899,46.9096999999999,7.85598999999997,49.0365799999998,198.247780000001,2.82676999999999,163.991070000001,1.032,6.414,1.718,1.788,31.0123700000002,65.6783900000004,149.216640000001
"4","Rodentia","Echimyidae","Callistomys","pictus","Callistomys pictus",1.396,518.99,270.517079999999,10.1958,275.09066,299.02896,525.8753,3.098,230.164979999999,54.3772500000001,1.608,0.0157911485773999,0.0154584738013998,140.00585,1.49955,2.13375,60.1463599999998,31.8027900000001,82.46163,369.774890000002,16.8280700000001,217.407319999999,1.3515,4.252,1.907,1.458,40.41908,142.839729999999,194.617900000002
"5","Rodentia","Sciuridae","Callosciurus","adamsi","Callosciurus adamsi",3,208.72,203.5,16.44993,313.372859999999,175.58802,242.29075,6,175.66494,48.3908500000001,1,0.0142727838375999,0.0142335479563998,176.88735,1.94,1.54197,88.0410799999998,14.57751,68.67543,245.818550000001,8.16389999999998,332.048970000001,1.578,5,2,2,44.32615,95.3334000000001,152.584080000001
"6","Rodentia","Sciuridae","Callosciurus","albescens","Callosciurus albescens",1.104,192.25476,180.91266,13.83686,171.85436,162.24427,198.764150000001,3.94,95.5204400000001,34.9862299999999,1.688,0.00699150672469998,0.00724674010669997,68.3255800000002,3.83358999999996,2.01899,46.9096999999999,7.85598999999997,49.0365799999998,198.247780000001,2.82676999999999,163.991070000001,1.032,6.414,1.718,1.788,31.0123700000002,65.6783900000004,149.216640000001
"7","Rodentia","Sciuridae","Callosciurus","baluensis","Callosciurus baluensis",3,323.91,203.5,19.66031,314.464869999999,186.99126,258.020549999999,6,180.01249,47.0736800000002,1,0.0171684044956998,0.0255793183940001,195.42067,3,1.39147,88.0138799999997,14.52027,68.1714999999999,292.441300000001,17.3578900000001,355.911880000002,2.32866,5,2,2,46.2796500000001,99.4878900000001,152.36171
"8","Rodentia","Sciuridae","Callosciurus","caniceps","Callosciurus caniceps",1.964,264.91,211.08,12.61419,298.907499999999,182.93451,287.0422,4.331,215.656649999999,53.3119300000001,1,0.01,0.01,126.90162,2.19,1.96844,114,18.92864,75.86244,18.6,14.37533,251.53948,2.15316,5.526,2,1.382,43.0354000000001,102.20509,157.759810000001
"9","Rodentia","Sciuridae","Callosciurus","erythraeus","Callosciurus erythraeus",2.439,283.23,211.93,12.7342,314.040509999999,257.40018,416.539599999999,3,269.504919999999,57.3740300000003,1,0.008950755,0.008781353,147.05358,1.94,2,193.2,23.34965,78.3119899999999,622.69,31.22772,309.67185,5.32238,6.148,2,1,52.07825,138.23479,156.655060000001
"10","Rodentia","Sciuridae","Callosciurus","finlaysonii","Callosciurus finlaysonii",1.039,175.40023,184.9485,12.37717,199.05652,155.89884,206.786380000002,3.149,107.816330000001,43.5983199999999,1,0.00679343699979999,0.00637167978579998,88.5859900000002,1.97025000000001,2.35561,50.9441699999996,14.11856,61.6495099999998,278.74301,6.23047999999999,175.76388,1.0655,4.541,2,1.707,33.0395600000002,75.1158300000001,157.226430000001
